,KR,GB,SG,FI,US,CN,JP,DE,FR,CA,IL,IN,EE,NO,SE,NL,IE,ES,IT,SA,BR,MX,ZA
KR,0.0000,0.4385,0.4325,0.3939,0.3232,0.4948,0.4262,0.4375,0.4604,0.4573,0.4229,0.4717,0.5952,0.4704,0.4671,0.4722,0.2985,0.5500,0.4368,0.4783,0.5209,0.4637,0.4602
GB,0.4385,0.0000,0.1325,0.2338,0.1919,0.3073,0.1640,0.1274,0.1755,0.1602,0.1613,0.1322,0.3091,0.2179,0.2641,0.1118,0.3285,0.3020,0.1434,0.1904,0.2812,0.2195,0.1768
SG,0.4325,0.1325,0.0000,0.2309,0.1958,0.2360,0.1225,0.1232,0.1494,0.1771,0.1004,0.1535,0.3285,0.2356,0.2428,0.1581,0.3336,0.2339,0.1689,0.1929,0.2932,0.2239,0.1669
FI,0.3939,0.2338,0.2309,0.0000,0.1400,0.3575,0.1875,0.2773,0.2975,0.2095,0.1955,0.1955,0.3558,0.1425,0.3114,0.2229,0.2835,0.3257,0.2846,0.2482,0.2744,0.1975,0.1791
US,0.3232,0.1919,0.1958,0.1400,0.0000,0.3588,0.1661,0.2284,0.2606,0.1930,0.1830,0.2241,0.3544,0.2181,0.3059,0.2256,0.2516,0.3557,0.2341,0.2788,0.2777,0.2123,0.1864
CN,0.4948,0.3073,0.2360,0.3575,0.3588,0.0000,0.2601,0.2432,0.2611,0.3498,0.2683,0.2744,0.4297,0.3448,0.2257,0.2716,0.4254,0.2411,0.2580,0.2631,0.4091,0.4085,0.3488
JP,0.4262,0.1640,0.1225,0.1875,0.1661,0.2601,0.0000,0.1339,0.1419,0.1772,0.1145,0.1452,0.3030,0.1929,0.2424,0.1487,0.2925,0.2379,0.1639,0.2161,0.2492,0.2149,0.1437
DE,0.4375,0.1274,0.1232,0.2773,0.2284,0.2432,0.1339,0.0000,0.0871,0.2139,0.1598,0.1622,0.3115,0.2566,0.2473,0.1412,0.3134,0.2660,0.1257,0.2045,0.3003,0.2795,0.2101
FR,0.4604,0.1755,0.1494,0.2975,0.2606,0.2611,0.1419,0.0871,0.0000,0.2358,0.1597,0.1700,0.3176,0.2562,0.2519,0.1591,0.3465,0.2386,0.1452,0.2201,0.2847,0.2691,0.2028
CA,0.4573,0.1602,0.1771,0.2095,0.1930,0.3498,0.1772,0.2139,0.2358,0.0000,0.1897,0.2005,0.3097,0.2340,0.2782,0.2054,0.3482,0.3087,0.2349,0.2262,0.2981,0.2163,0.2143
IL,0.4229,0.1613,0.1004,0.1955,0.1830,0.2683,0.1145,0.1598,0.1597,0.1897,0.0000,0.1333,0.3296,0.1950,0.2790,0.1495,0.3280,0.2690,0.1764,0.2317,0.2393,0.1690,0.1387
IN,0.4717,0.1322,0.1535,0.1955,0.2241,0.2744,0.1452,0.1622,0.1700,0.2005,0.1333,0.0000,0.2878,0.1248,0.2541,0.0716,0.3469,0.2412,0.1621,0.1564,0.2295,0.2026,0.1367
EE,0.5952,0.3091,0.3285,0.3558,0.3544,0.4297,0.3030,0.3115,0.3176,0.3097,0.3296,0.2878,0.0000,0.2926,0.4316,0.3123,0.4578,0.3828,0.2958,0.3526,0.2346,0.3880,0.2978
NO,0.4704,0.2179,0.2356,0.1425,0.2181,0.3448,0.1929,0.2566,0.2562,0.2340,0.1950,0.1248,0.2926,0.0000,0.2903,0.1614,0.3613,0.2838,0.2422,0.2117,0.1969,0.2028,0.1495
SE,0.4671,0.2641,0.2428,0.3114,0.3059,0.2257,0.2424,0.2473,0.2519,0.2782,0.2790,0.2541,0.4316,0.2903,0.0000,0.2305,0.4287,0.2209,0.2451,0.2008,0.3854,0.3488,0.3138
NL,0.4722,0.1118,0.1581,0.2229,0.2256,0.2716,0.1487,0.1412,0.1591,0.2054,0.1495,0.0716,0.3123,0.1614,0.2305,0.0000,0.3600,0.2632,0.1385,0.1761,0.2431,0.2122,0.1639
IE,0.2985,0.3285,0.3336,0.2835,0.2516,0.4254,0.2925,0.3134,0.3465,0.3482,0.3280,0.3469,0.4578,0.3613,0.4287,0.3600,0.0000,0.4368,0.3638,0.3590,0.4469,0.3766,0.3343
ES,0.5500,0.3020,0.2339,0.3257,0.3557,0.2411,0.2379,0.2660,0.2386,0.3087,0.2690,0.2412,0.3828,0.2838,0.2209,0.2632,0.4368,0.0000,0.2953,0.1892,0.3780,0.3437,0.2674
IT,0.4368,0.1434,0.1689,0.2846,0.2341,0.2580,0.1639,0.1257,0.1452,0.2349,0.1764,0.1621,0.2958,0.2422,0.2451,0.1385,0.3638,0.2953,0.0000,0.2428,0.2435,0.2829,0.2203
SA,0.4783,0.1904,0.1929,0.2482,0.2788,0.2631,0.2161,0.2045,0.2201,0.2262,0.2317,0.1564,0.3526,0.2117,0.2008,0.1761,0.3590,0.1892,0.2428,0.0000,0.3564,0.2943,0.2334
BR,0.5209,0.2812,0.2932,0.2744,0.2777,0.4091,0.2492,0.3003,0.2847,0.2981,0.2393,0.2295,0.2346,0.1969,0.3854,0.2431,0.4469,0.3780,0.2435,0.3564,0.0000,0.2581,0.2117
MX,0.4637,0.2195,0.2239,0.1975,0.2123,0.4085,0.2149,0.2795,0.2691,0.2163,0.1690,0.2026,0.3880,0.2028,0.3488,0.2122,0.3766,0.3437,0.2829,0.2943,0.2581,0.0000,0.1408
ZA,0.4602,0.1768,0.1669,0.1791,0.1864,0.3488,0.1437,0.2101,0.2028,0.2143,0.1387,0.1367,0.2978,0.1495,0.3138,0.1639,0.3343,0.2674,0.2203,0.2334,0.2117,0.1408,0.0000
