iso,n_full,cluster1_rate_pct,full_cluster,top_dom_aspect,top_dom_rate_pct
AE,7,0.0,2,A1 HCM,100.0
AU,42,0.0,2,A1 HCM,100.0
BR,694,0.0,2,A4 SysDes,100.0
CA,75,0.0,2,A4 SysDes,100.0
CN,387,0.0,2,A4 SysDes,100.0
DE,684,0.0,2,A4 SysDes,100.0
EE,66,0.0,2,A4 SysDes,100.0
ES,210,0.0,2,A4 SysDes,100.0
FI,1656,0.0,2,A2 Ethics,91.8
FR,1626,0.0,2,A4 SysDes,100.0
GB,687,0.0,2,A4 SysDes,100.0
IE,1290,100.0,1,A1 HCM,99.4
IL,996,0.0,2,A4 SysDes,100.0
IN,1718,0.0,2,A4 SysDes,100.0
IT,1066,0.0,2,A4 SysDes,100.0
JP,751,0.0,2,A4 SysDes,72.8
KR,3297,100.0,1,A3 Tech,100.0
MX,1253,0.0,2,A1 HCM,100.0
NL,934,0.0,2,A4 SysDes,100.0
NO,974,0.0,2,A4 SysDes,100.0
SA,234,0.0,2,A4 SysDes,100.0
SE,385,0.0,2,A4 SysDes,100.0
SG,493,0.0,2,A4 SysDes,100.0
US,3211,0.1,2,A1 HCM,83.4
ZA,1334,0.0,2,A1 HCM,99.7
