key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AU,5.56,11.11,16.67,5.56,11.11,5.56,0.0,0.0,22.22,5.56,2.78,13.89,36
BR,7.57,20.36,5.41,16.22,5.41,2.7,3.06,0.54,0.18,26.31,2.16,10.09,555
CA,9.68,0.0,16.13,0.0,3.23,0.0,6.45,3.23,3.23,32.26,3.23,22.58,31
CN,3.36,0.78,11.11,1.03,3.36,1.03,11.37,1.81,5.68,30.75,16.28,13.44,387
DE,6.25,1.56,21.68,2.93,6.25,0.59,2.54,0.59,1.17,34.77,4.1,17.58,512
EE,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,3
ES,6.15,4.62,40.0,16.92,4.62,0.0,4.62,0.0,1.54,10.77,1.54,9.23,65
FI,9.06,5.36,8.75,11.28,14.73,2.84,9.31,9.93,4.87,11.04,3.58,9.25,1622
FR,3.68,1.47,23.9,2.57,1.84,1.1,6.25,1.47,1.1,24.26,8.82,23.53,272
GB,9.43,2.5,16.64,5.15,8.1,1.03,3.53,2.8,5.45,29.16,1.03,15.17,679
IE,1.79,2.26,37.02,0.24,4.4,0.48,1.19,30.71,3.21,5.95,2.74,10.0,840
IL,19.33,9.24,8.4,14.29,6.72,1.68,0.0,1.68,0.0,33.61,0.0,5.04,119
IN,6.87,3.55,12.75,6.0,13.39,1.8,6.64,2.91,2.27,27.82,4.37,11.64,1718
JP,10.23,5.68,20.08,6.63,5.3,1.14,8.52,4.92,2.08,17.8,5.87,11.74,528
KR,2.68,1.42,12.54,5.29,0.76,4.47,2.78,31.86,9.1,12.34,0.96,15.81,3023
MX,18.83,3.59,15.4,9.34,15.32,1.36,4.55,3.75,1.44,15.96,2.79,7.66,1253
NL,7.71,3.43,13.6,6.21,7.82,0.86,7.17,3.0,2.36,33.3,2.78,11.78,934
NO,6.72,7.86,8.48,6.72,16.13,2.38,10.75,4.96,1.76,20.89,3.31,10.03,967
SA,2.99,1.28,18.38,2.56,5.13,0.85,15.81,2.14,5.56,23.08,3.42,18.8,234
SE,5.71,0.26,10.65,5.71,3.12,1.04,22.08,2.08,3.64,23.9,3.12,18.7,385
SG,9.17,2.08,20.0,3.12,8.96,2.29,4.79,1.88,5.62,21.04,6.25,14.79,480
US,11.32,6.0,11.76,8.91,4.52,2.1,4.64,9.47,7.12,18.38,1.05,14.73,1616
