iso,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,n_docs
AE,10.0,10.0,10.0,35.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AU,1.9,2.86,16.83,0.0,5.71,4.76,0.95,0.0,28.89,0.95,0.95,36.19,3
BR,10.41,9.51,5.09,5.35,20.8,6.45,2.35,1.84,0.09,22.5,3.73,11.88,2
CA,11.74,0.76,13.38,3.6,11.31,1.52,5.82,2.84,3.6,20.06,2.08,23.28,3
CN,1.8,0.39,5.4,50.64,1.67,1.54,5.66,0.9,2.83,14.4,8.35,6.43,2
DE,3.27,2.07,14.76,6.65,5.89,1.96,2.92,3.28,3.48,36.01,3.99,15.72,3
EE,3.12,7.03,20.57,0.0,11.72,3.91,0.78,0.0,0.78,41.15,0.78,10.16,2
ES,4.53,1.88,25.62,4.1,11.51,2.04,15.91,0.0,1.79,14.32,6.89,11.42,2
FI,3.79,1.25,21.97,15.11,9.63,7.17,8.83,8.91,1.17,10.24,0.91,11.03,4
FR,5.35,2.55,19.89,5.63,11.85,4.57,5.73,3.38,0.94,20.56,4.15,15.4,3
GB,3.84,0.74,5.76,1.75,19.89,7.52,6.53,9.94,4.92,10.73,0.31,28.08,4
IE,4.57,2.29,23.36,2.57,12.01,7.72,2.77,19.07,5.51,9.51,1.56,9.06,2
IL,11.86,3.62,9.17,12.13,16.51,5.76,2.01,2.45,1.45,21.52,4.41,9.09,2
IN,5.0,2.02,10.6,5.28,21.58,3.66,8.01,2.02,2.81,21.52,6.91,10.6,3
IT,6.73,2.57,10.79,4.23,8.52,7.67,4.19,1.87,2.25,34.2,2.28,14.69,2
JP,7.75,5.05,12.92,2.68,11.93,6.92,7.22,5.1,4.86,18.35,2.96,14.24,3
KR,2.69,1.88,21.19,6.24,3.04,6.15,3.35,20.41,13.15,11.12,1.91,8.85,5
MX,13.45,2.14,10.31,23.61,20.95,2.26,2.27,1.67,0.64,15.15,1.31,6.23,2
NL,3.38,1.21,55.17,2.48,8.39,1.11,3.32,1.42,1.05,15.72,1.37,5.38,2
NO,2.81,3.1,10.3,9.47,13.19,2.13,19.33,2.09,0.73,23.45,1.6,11.8,2
SA,2.72,0.23,14.53,1.62,14.0,1.16,15.86,1.16,9.43,23.32,4.51,11.46,2
SE,5.85,0.78,8.74,4.44,7.48,1.54,20.89,1.53,2.88,26.28,2.71,16.87,2
SG,7.83,0.62,24.1,2.42,6.58,15.62,1.59,2.98,14.32,14.4,2.07,7.47,3
US,11.37,5.5,8.47,6.34,9.36,7.58,7.15,7.33,8.15,16.14,1.3,11.31,4
ZA,5.53,3.89,17.46,7.98,18.61,3.45,5.78,2.53,2.85,20.6,3.65,7.67,2
