key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
AU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,66.67,6
BR,12.95,1.44,10.07,9.35,12.95,1.44,2.16,3.6,0.0,25.9,5.76,14.39,139
CA,27.27,2.27,4.55,13.64,20.45,0.0,4.55,2.27,4.55,2.27,0.0,18.18,44
DE,4.65,5.23,20.35,4.07,4.65,0.58,6.4,9.3,9.3,15.12,1.74,18.6,172
EE,4.76,11.11,9.52,6.35,17.46,4.76,1.59,0.0,1.59,17.46,1.59,23.81,63
ES,1.38,1.38,9.66,5.52,5.52,2.76,27.59,0.0,2.07,18.62,11.72,13.79,145
FI,5.88,0.0,20.59,20.59,0.0,0.0,14.71,17.65,0.0,5.88,0.0,14.71,34
FR,5.54,3.03,24.22,5.17,5.69,0.66,3.69,1.55,0.59,28.66,3.77,17.43,1354
GB,0.0,12.5,0.0,0.0,25.0,0.0,12.5,12.5,0.0,0.0,0.0,37.5,8
IE,9.33,4.22,17.11,6.44,10.22,1.11,4.44,9.56,8.22,16.44,0.89,12.0,450
IL,11.17,3.08,16.88,4.45,7.53,0.91,4.22,3.42,3.08,21.89,9.35,14.03,877
IT,7.32,4.22,13.41,3.75,4.5,1.78,4.32,1.88,2.25,38.65,2.53,15.38,1066
JP,13.45,5.38,18.83,4.48,5.83,0.0,4.04,1.35,3.14,22.87,3.14,17.49,223
KR,5.11,3.65,27.37,0.36,2.92,0.36,4.74,12.41,15.33,16.06,1.09,10.58,274
NO,0.0,0.0,28.57,0.0,0.0,0.0,28.57,0.0,0.0,28.57,0.0,14.29,7
SG,7.69,0.0,0.0,23.08,15.38,0.0,0.0,7.69,23.08,15.38,0.0,7.69,13
US,11.85,7.65,16.49,5.96,10.34,2.51,5.14,9.28,6.33,11.47,1.69,11.29,1595
ZA,9.37,7.05,18.67,12.59,11.99,2.7,5.32,1.95,2.32,17.17,3.0,7.87,1334
