iso,n_docs,weighted_A3_Tech_pct,weighted_A2_Ethics_pct,weighted_T/E,weighted_dominant,raw_T/E,raw_dominant,flipped
AE,2,0.0,25.0,0.0,A1 HCM,0.0,A1 HCM,
AU,3,29.29,8.08,3.625,A4 SysDes,1.251,A1 HCM,Y
BR,2,4.77,24.03,0.198,A4 SysDes,0.172,A4 SysDes,
CA,3,12.26,13.45,0.912,A4 SysDes,0.563,A4 SysDes,
CN,2,9.46,2.72,3.476,A4 SysDes,3.48,A4 SysDes,
DE,3,9.81,6.46,1.519,A4 SysDes,0.985,A4 SysDes,
EE,2,1.59,14.29,0.111,A4 SysDes,0.111,A4 SysDes,
ES,2,17.9,17.67,1.014,A4 SysDes,1.382,A4 SysDes,
FI,4,21.3,25.27,0.843,A1 HCM,0.846,A2 Ethics,Y
FR,3,9.77,14.02,0.697,A4 SysDes,0.603,A4 SysDes,
GB,4,21.77,18.32,1.189,A4 SysDes,0.829,A4 SysDes,
IE,2,28.67,11.45,2.504,A1 HCM,3.213,A1 HCM,
IL,2,6.2,17.79,0.349,A4 SysDes,0.685,A4 SysDes,
IN,3,13.9,21.83,0.637,A4 SysDes,0.558,A4 SysDes,
IT,2,8.51,10.01,0.85,A4 SysDes,0.842,A4 SysDes,
JP,3,17.99,10.4,1.73,A4 SysDes,1.098,A4 SysDes,
KR,5,38.6,5.69,6.781,A3 Tech,4.305,A3 Tech,
MX,2,5.09,31.82,0.16,A1 HCM,0.374,A1 HCM,
NL,2,6.29,7.47,0.842,A1 HCM,0.842,A4 SysDes,Y
NO,2,23.02,12.62,1.825,A4 SysDes,0.701,A4 SysDes,
SA,2,28.08,4.95,5.672,A4 SysDes,2.753,A4 SysDes,
SE,2,23.92,14.06,1.701,A4 SysDes,2.817,A4 SysDes,
SG,3,19.11,17.68,1.08,A1 HCM,0.852,A4 SysDes,Y
US,4,23.3,15.13,1.54,A4 SysDes,1.224,A1 HCM,Y
ZA,2,11.49,19.87,0.578,A4 SysDes,0.352,A1 HCM,Y
