iso,drop_doc,drop_n,kept_n,orig_dom,loo_dom,orig_cluster,loo_cluster,flipped
AE,AE-02,5,2,A1 HCM,A1 HCM,2,1,Y
AU,AU-01,33,9,A1 HCM,A4 SysDes,2,1,Y
BR,BR-03,555,139,A4 SysDes,A4 SysDes,2,2,
CA,CA-02,44,31,A4 SysDes,A4 SysDes,2,2,
CN,CN-01,386,1,A4 SysDes,A4 SysDes,2,2,
DE,DE-01,496,188,A4 SysDes,A4 SysDes,2,2,
EE,EE-02,63,3,A4 SysDes,A4 SysDes,2,2,
ES,ES-02,145,65,A4 SysDes,A1 HCM,2,2,
FI,FI-01,1622,34,A2 Ethics,A3 Tech,2,1,Y
FR,FR-03,1192,434,A4 SysDes,A4 SysDes,2,2,
GB,GB-02_full,565,122,A4 SysDes,A4 SysDes,2,2,
IE,IE-01,840,450,A1 HCM,A1 HCM,1,2,Y
IL,IL-01,877,119,A4 SysDes,A4 SysDes,2,2,
IN,IN-01,1135,583,A4 SysDes,A2 Ethics,2,2,
IT,IT-02,566,500,A4 SysDes,A4 SysDes,2,2,
JP,JP-01,528,223,A4 SysDes,A4 SysDes,2,2,
KR,KR-02,2930,367,A3 Tech,A3 Tech,1,1,
MX,MX-01,1198,55,A1 HCM,A2 Ethics,2,2,
NL,NL-01,930,4,A4 SysDes,A1 HCM,2,1,Y
NO,NO-01,967,7,A4 SysDes,A4 SysDes,2,2,
SA,SA-01,202,32,A4 SysDes,A4 SysDes,2,2,
SE,SE-02,259,126,A4 SysDes,A4 SysDes,2,2,
SG,SG-01,473,20,A4 SysDes,A1 HCM,2,1,Y
US,US-04,1549,1662,A1 HCM,A4 SysDes,2,2,
ZA,ZA-01,1225,109,A1 HCM,A4 SysDes,2,2,
