key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE-01,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AE-02,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
AU-01,6.06,12.12,15.15,6.06,12.12,6.06,0.0,0.0,21.21,6.06,3.03,12.12,33
AU-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,66.67,6
AU-03,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,33.33,3
BR-02,12.95,1.44,10.07,9.35,12.95,1.44,2.16,3.6,0.0,25.9,5.76,14.39,139
BR-03,7.57,20.36,5.41,16.22,5.41,2.7,3.06,0.54,0.18,26.31,2.16,10.09,555
CA-01,6.67,0.0,33.33,0.0,0.0,0.0,6.67,0.0,0.0,26.67,0.0,26.67,15
CA-02,27.27,2.27,4.55,13.64,20.45,0.0,4.55,2.27,4.55,2.27,0.0,18.18,44
CA-03,12.5,0.0,0.0,0.0,6.25,0.0,6.25,6.25,6.25,37.5,6.25,18.75,16
CN-01,3.37,0.78,11.14,1.04,3.37,1.04,11.4,1.81,5.7,30.57,16.32,13.47,386
CN-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1
DE-01,6.45,1.61,21.77,3.02,6.45,0.6,2.62,0.6,1.21,33.87,4.03,17.74,496
DE-02,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,62.5,6.25,12.5,16
DE-03,4.65,5.23,20.35,4.07,4.65,0.58,6.4,9.3,9.3,15.12,1.74,18.6,172
EE-01,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,3
EE-02,4.76,11.11,9.52,6.35,17.46,4.76,1.59,0.0,1.59,17.46,1.59,23.81,63
