key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
KR,95,53,454,161,31,136,97,997,317,417,32,507,3297
GB,64,18,113,35,57,7,25,20,37,198,7,106,687
SG,45,10,96,18,45,11,23,10,30,103,30,72,493
FI,149,87,149,190,239,46,156,167,79,181,58,155,1656
US,372,219,453,239,238,74,157,301,216,480,44,418,3211
CN,13,3,43,4,13,4,44,7,22,119,63,52,387
JP,84,42,148,45,41,6,54,29,18,145,38,101,751
DE,40,17,146,22,40,4,24,19,22,204,24,122,684
FR,85,45,393,77,82,12,67,25,11,454,75,300,1626
CA,15,1,7,6,10,0,4,2,3,11,1,15,75
AU,2,4,6,2,4,2,0,0,10,2,1,9,42
IL,121,38,158,56,74,10,37,32,27,232,82,129,996
IN,118,61,219,103,230,31,114,50,39,478,75,200,1718
EE,3,7,7,4,11,3,1,0,1,13,1,15,66
NO,65,76,84,65,156,23,106,48,17,204,32,98,974
SE,22,1,41,22,12,4,85,8,14,92,12,72,385
NL,72,32,127,58,73,8,67,28,22,311,26,110,934
IE,57,38,388,31,83,9,30,301,64,124,27,138,1290
ES,6,5,40,19,11,4,43,0,4,34,18,26,210
IT,78,45,143,40,48,19,46,20,24,412,27,164,1066
AE,1,2,3,1,0,0,0,0,0,0,0,0,7
SA,7,3,43,6,12,2,37,5,13,54,8,44,234
BR,60,115,44,103,48,17,20,8,1,182,20,76,694
MX,236,45,193,117,192,17,57,47,18,200,35,96,1253
ZA,125,94,249,168,160,36,71,26,31,229,40,105,1334
