key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
KR,1.39,0.73,7.61,14.55,1.8,16.64,2.67,26.84,8.13,6.39,0.87,12.37,3443
GB,8.06,1.29,13.24,5.18,16.26,3.31,3.45,2.59,5.32,26.76,1.01,13.53,695
SG,8.17,1.79,15.34,6.97,11.75,3.59,4.58,1.39,6.18,19.92,5.98,14.34,502
FI,9.77,4.88,7.8,5.36,21.5,4.71,9.11,9.41,4.59,10.6,3.57,8.7,1679
US,10.3,5.37,10.73,8.42,12.21,6.54,4.75,8.67,6.6,12.99,1.3,12.12,3242
CN,3.59,0.77,10.77,1.54,3.33,3.08,11.28,1.79,5.64,28.72,16.67,12.82,390
JP,10.27,4.55,16.78,4.55,10.92,4.42,6.76,3.64,2.21,18.6,4.68,12.61,769
DE,5.21,2.32,18.96,4.05,9.26,2.89,3.33,2.75,3.18,27.64,3.47,16.93,691
FR,4.62,2.43,19.99,6.08,9.48,3.34,4.19,1.52,0.67,25.58,4.37,17.74,1646
CA,16.0,1.33,10.67,4.0,17.33,2.67,5.33,2.67,4.0,13.33,1.33,21.33,75
AU,4.55,6.82,15.91,0.0,13.64,11.36,2.27,0.0,22.73,2.27,2.27,18.18,44
IL,9.46,2.56,11.72,8.67,14.48,4.43,3.55,3.05,2.56,19.51,7.78,12.22,1015
IN,5.84,2.33,10.78,4.14,21.44,3.74,6.69,2.5,2.04,25.64,4.25,10.61,1763
EE,5.97,13.43,8.96,0.0,22.39,7.46,1.49,0.0,1.49,17.91,1.49,19.4,67
NO,5.59,6.17,6.36,4.72,26.2,4.24,10.21,4.14,1.45,18.4,3.18,9.34,1038
SE,5.15,0.77,8.76,5.15,4.9,1.8,22.94,2.06,3.61,24.48,2.84,17.53,388
NL,6.72,2.42,10.71,4.94,16.7,2.21,6.62,2.84,2.1,31.3,2.73,10.71,952
IE,3.51,2.06,26.07,2.36,10.37,8.0,2.29,22.26,4.8,7.7,1.83,8.77,1312
ES,3.3,1.42,18.87,3.3,11.79,2.83,20.28,0.0,1.89,15.09,8.96,12.26,212
IT,6.67,2.59,10.83,4.26,8.52,7.69,4.17,1.85,2.22,34.17,2.31,14.72,1080
AE,14.29,14.29,14.29,28.57,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,7
SA,2.42,0.4,13.71,2.82,19.76,2.02,13.71,2.02,4.84,19.76,3.23,15.32,248
BR,9.1,13.87,3.78,5.74,19.33,8.26,2.94,0.98,0.14,22.41,2.8,10.64,714
MX,14.11,2.44,9.76,15.26,23.49,2.67,4.35,3.2,1.22,14.04,2.52,6.94,1311
ZA,7.93,5.65,15.05,8.74,21.59,4.85,5.43,1.69,2.28,16.37,3.01,7.42,1362
