key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE-01,0,0,0,1,1,0,0,0,0,0,0,0,2
AE-02,1,1,1,1,0,1,0,0,0,0,0,0,5
AU-01,2,3,6,0,6,5,1,0,7,1,1,3,35
AU-02,0,0,0,0,0,0,0,0,2,0,0,4,6
AU-03,0,0,1,0,0,0,0,0,1,0,0,1,3
BR-02,19,3,11,7,35,5,2,5,0,34,8,21,150
BR-03,46,96,16,34,103,54,19,2,1,126,12,55,564
CA-01,0,0,5,0,1,0,1,0,0,4,0,4,15
CA-02,10,1,3,2,12,2,2,1,2,1,0,8,44
CA-03,2,0,0,1,0,0,1,1,1,5,1,4,16
CN-01,14,3,42,5,13,12,44,7,22,112,65,50,389
CN-02,0,0,0,1,0,0,0,0,0,0,0,0,1
DE-01,29,8,98,20,51,15,12,3,6,156,20,84,502
DE-02,0,0,1,2,0,0,0,0,0,10,1,2,16
DE-03,7,8,32,6,13,5,11,16,16,25,3,31,173
EE-01,0,0,1,0,0,0,0,0,0,2,0,0,3
EE-02,4,9,5,0,15,5,1,0,1,10,1,13,64
ES-01,5,2,28,4,7,0,3,0,1,8,1,6,65
ES-02,2,1,12,3,18,6,40,0,3,24,18,20,147
FI-01,163,82,125,85,359,75,148,153,77,176,60,141,1644
FI-02,0,0,2,1,0,0,0,0,0,1,0,0,4
FI-03,0,0,3,3,2,1,0,0,0,0,0,3,12
FI-04,1,0,1,1,0,3,5,5,0,1,0,2,19
FR-01,10,4,62,4,14,6,18,4,3,63,23,63,274
FR-02,13,6,28,14,35,14,12,13,2,17,0,8,162
FR-03,53,30,239,82,107,35,39,8,6,341,49,221,1210
GB-01_full,8,2,10,1,29,9,3,5,19,15,0,14,115
GB-02_full,48,7,82,35,82,13,20,12,18,171,7,77,572
GB-03,0,0,0,0,0,0,0,1,0,0,0,2,3
GB-04_full,0,0,0,0,2,1,1,0,0,0,0,1,5
IE-01,9,13,276,16,56,74,10,253,27,30,21,69,854
IE-02,37,14,66,15,80,31,20,39,36,71,3,46,458
IL-01,78,20,112,68,124,36,36,29,26,169,79,118,895
IL-02,18,6,7,20,23,9,0,2,0,29,0,6,120
IN-01,54,17,126,37,118,25,96,41,31,402,58,148,1153
IN-02,48,24,55,30,255,40,10,1,0,29,4,27,523
IN-03,1,0,9,6,5,1,12,2,5,21,13,12,87
IT-01,39,11,51,19,43,38,23,11,14,176,9,72,506
IT-02,33,17,66,27,49,45,22,9,10,193,16,87,574
JP-01,52,27,92,30,59,27,43,25,10,92,29,58,544
JP-02,27,6,36,5,21,3,6,0,4,47,7,35,197
JP-03,0,2,1,0,4,4,3,3,3,4,0,4,28
KR-01,2,0,23,5,4,6,2,28,10,10,4,2,96
KR-02,34,16,172,487,50,560,77,862,228,167,23,396,3072
KR-03,1,2,26,4,5,3,1,13,17,20,0,12,104
KR-04,11,6,25,3,1,4,11,7,15,22,1,12,118
KR-05,0,1,16,2,2,0,1,14,10,1,2,4,53
MX-01,178,31,122,182,298,34,57,42,16,175,33,88,1256
MX-02,7,1,6,18,10,1,0,0,0,9,0,3,55
NL-01,64,23,98,47,159,21,63,27,20,298,26,102,948
NL-02,0,0,4,0,0,0,0,0,0,0,0,0,4
NO-01,58,64,65,48,272,44,104,43,15,189,33,96,1031
NO-02,0,0,1,1,0,0,2,0,0,2,0,1,7
SA-01,5,1,29,7,47,5,28,5,7,40,6,36,216
SA-02,1,0,5,0,2,0,6,0,5,9,2,2,32
SE-01,10,1,11,3,19,1,19,0,1,40,3,19,127
SE-02,10,2,23,17,0,6,70,8,13,55,8,49,261
SG-01,39,9,73,35,58,14,23,6,27,97,30,71,482
SG-02,0,0,4,0,0,2,0,0,1,0,0,0,7
SG-03,2,0,0,0,1,2,0,1,3,3,0,1,13
US-01,26,20,6,22,37,39,11,5,3,54,8,39,270
US-02,145,56,143,119,95,64,62,141,113,211,9,186,1344
US-03,7,2,4,0,0,2,7,4,8,9,0,3,46
US-04,156,96,195,132,264,107,74,131,90,147,25,165,1582
ZA-01,105,75,182,111,277,64,67,19,27,194,36,92,1249
ZA-02,3,2,23,8,17,2,7,4,4,29,5,9,113
